pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,order_day,order_Month
39,15,the_greek_s,1,01-01-2015 00:00,0.564583333,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,January
40,16,four_cheese_l,1,01-01-2015 00:00,0.565358796,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,January
41,16,napolitana_s,1,01-01-2015 00:00,0.565358796,12,12,S,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,Thursday,January
42,16,thai_ckn_l,1,01-01-2015 00:00,0.565358796,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
43,17,bbq_ckn_l,1,01-01-2015 00:00,0.578472222,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
44,17,calabrese_m,1,01-01-2015 00:00,0.578472222,16.25,16.25,M,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza,Thursday,January
45,17,five_cheese_l,1,01-01-2015 00:00,0.578472222,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,January
46,17,four_cheese_m,1,01-01-2015 00:00,0.578472222,14.75,14.75,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,January
47,17,ital_supr_m,1,01-01-2015 00:00,0.578472222,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
48,17,ital_veggie_s,1,01-01-2015 00:00,0.578472222,12.75,12.75,S,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza,Thursday,January
49,17,mediterraneo_m,2,01-01-2015 00:00,0.578472222,16,32,M,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",The Mediterranean Pizza,Thursday,January
50,17,mexicana_l,1,01-01-2015 00:00,0.578472222,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
51,17,peppr_salami_s,1,01-01-2015 00:00,0.578472222,12.5,12.5,S,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,Thursday,January
52,17,spinach_fet_l,1,01-01-2015 00:00,0.578472222,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,Thursday,January
53,18,napolitana_l,1,01-01-2015 00:00,0.581342593,20.5,20.5,L,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,Thursday,January
54,19,ital_cpcllo_l,1,01-01-2015 00:00,0.582743056,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
55,19,sicilian_l,1,01-01-2015 00:00,0.582743056,20.25,20.25,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,Thursday,January
56,20,big_meat_s,1,01-01-2015 00:00,0.585509259,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,January
57,20,five_cheese_l,1,01-01-2015 00:00,0.585509259,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,January
58,21,ital_cpcllo_l,1,01-01-2015 00:00,0.593391204,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
59,22,five_cheese_l,1,01-01-2015 00:00,0.59474537,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,January
60,22,ital_cpcllo_m,1,01-01-2015 00:00,0.59474537,16,16,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
61,22,southw_ckn_l,1,01-01-2015 00:00,0.59474537,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,January
62,23,southw_ckn_s,1,01-01-2015 00:00,0.5965625,12.75,12.75,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,January
63,24,bbq_ckn_m,1,01-01-2015 00:00,0.59931713,16.75,16.75,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
64,24,ital_cpcllo_m,1,01-01-2015 00:00,0.59931713,16,16,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
65,24,pepperoni_m,1,01-01-2015 00:00,0.59931713,12.5,12.5,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,January
66,24,prsc_argla_s,1,01-01-2015 00:00,0.59931713,12.5,12.5,S,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,Thursday,January
67,25,sicilian_m,1,01-01-2015 00:00,0.614398148,16.25,16.25,M,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,Thursday,January
68,25,thai_ckn_l,1,01-01-2015 00:00,0.614398148,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
69,26,classic_dlx_s,1,01-01-2015 00:00,0.621134259,12,12,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,January
70,26,veggie_veg_l,1,01-01-2015 00:00,0.621134259,20.25,20.25,L,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,Thursday,January
71,27,bbq_ckn_l,1,01-01-2015 00:00,0.632835648,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
72,27,classic_dlx_m,1,01-01-2015 00:00,0.632835648,16,16,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,January
73,27,spinach_fet_l,1,01-01-2015 00:00,0.632835648,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,Thursday,January
74,28,ckn_alfredo_s,1,01-01-2015 00:00,0.649837963,12.75,12.75,S,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,Thursday,January
75,29,green_garden_s,1,01-01-2015 00:00,0.653483796,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
76,30,thai_ckn_l,1,01-01-2015 00:00,0.653761574,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
77,31,mexicana_m,1,01-01-2015 00:00,0.659930556,16,16,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
78,31,pepperoni_s,1,01-01-2015 00:00,0.659930556,9.75,9.75,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,January
79,32,big_meat_s,1,01-01-2015 00:00,0.662013889,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,January
80,32,green_garden_l,1,01-01-2015 00:00,0.662013889,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
81,32,ital_cpcllo_l,1,01-01-2015 00:00,0.662013889,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
82,32,ital_supr_m,1,01-01-2015 00:00,0.662013889,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
83,33,bbq_ckn_l,1,01-01-2015 00:00,0.662592593,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
84,33,green_garden_s,1,01-01-2015 00:00,0.662592593,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
85,34,the_greek_s,1,01-01-2015 00:00,0.681493056,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,January
86,35,green_garden_m,1,01-01-2015 00:00,0.688935185,16,16,M,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
87,35,pep_msh_pep_l,1,01-01-2015 00:00,0.688935185,17.5,17.5,L,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
88,35,pepperoni_m,1,01-01-2015 00:00,0.688935185,12.5,12.5,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,January
89,35,thai_ckn_l,1,01-01-2015 00:00,0.688935185,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
90,36,bbq_ckn_m,1,01-01-2015 00:00,0.704270833,16.75,16.75,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
91,36,classic_dlx_m,1,01-01-2015 00:00,0.704270833,16,16,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,January
92,37,ital_supr_l,1,01-01-2015 00:00,0.705659722,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
93,37,mexicana_l,1,01-01-2015 00:00,0.705659722,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
94,38,hawaiian_s,1,01-01-2015 00:00,0.710416667,10.5,10.5,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,January
95,38,ital_cpcllo_l,1,01-01-2015 00:00,0.710416667,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,January
96,39,ital_supr_l,1,01-01-2015 00:00,0.713460648,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
97,40,four_cheese_l,1,01-01-2015 00:00,0.718472222,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,January
98,40,southw_ckn_s,1,01-01-2015 00:00,0.718472222,12.75,12.75,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,January
99,41,four_cheese_m,1,01-01-2015 00:00,0.718981481,14.75,14.75,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,January
100,41,green_garden_s,1,01-01-2015 00:00,0.718981481,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
101,42,big_meat_s,1,01-01-2015 00:00,0.727881944,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,Thursday,January
102,42,five_cheese_l,1,01-01-2015 00:00,0.727881944,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,January
103,42,mexicana_l,1,01-01-2015 00:00,0.727881944,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
104,42,peppr_salami_m,1,01-01-2015 00:00,0.727881944,16.5,16.5,M,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,Thursday,January
105,43,ckn_alfredo_m,1,01-01-2015 00:00,0.735115741,16.75,16.75,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,Thursday,January
106,43,ital_supr_m,1,01-01-2015 00:00,0.735115741,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,January
107,43,peppr_salami_l,1,01-01-2015 00:00,0.735115741,20.75,20.75,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,Thursday,January
108,44,spin_pesto_s,1,01-01-2015 00:00,0.746064815,12.5,12.5,S,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,Thursday,January
109,45,four_cheese_l,1,01-01-2015 00:00,0.747083333,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,Thursday,January
110,45,hawaiian_s,1,01-01-2015 00:00,0.747083333,10.5,10.5,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,January
111,45,thai_ckn_m,1,01-01-2015 00:00,0.747083333,16.75,16.75,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
112,46,ckn_pesto_l,1,01-01-2015 00:00,0.767951389,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,Thursday,January
113,46,classic_dlx_l,1,01-01-2015 00:00,0.767951389,20.5,20.5,L,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,January
114,46,thai_ckn_m,1,01-01-2015 00:00,0.767951389,16.75,16.75,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,January
115,47,southw_ckn_l,1,01-01-2015 00:00,0.768449074,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,January
116,47,veggie_veg_s,1,01-01-2015 00:00,0.768449074,12,12,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,Thursday,January
117,48,ckn_pesto_m,1,01-01-2015 00:00,0.768541667,16.75,16.75,M,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,Thursday,January
118,48,green_garden_s,1,01-01-2015 00:00,0.768541667,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,January
119,48,prsc_argla_l,1,01-01-2015 00:00,0.768541667,20.75,20.75,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,Thursday,January
120,48,spicy_ital_l,1,01-01-2015 00:00,0.768541667,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,Thursday,January
121,49,sicilian_l,1,01-01-2015 00:00,0.772916667,20.25,20.25,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,Thursday,January
122,50,the_greek_xl,1,01-01-2015 00:00,0.778483796,25.5,25.5,XL,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,January
123,51,bbq_ckn_l,1,01-01-2015 00:00,0.783657407,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,January
124,51,pep_msh_pep_l,1,01-01-2015 00:00,0.783657407,17.5,17.5,L,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
125,52,hawaiian_l,1,01-01-2015 00:00,0.786828704,16.5,16.5,L,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,January
126,52,mexicana_l,1,01-01-2015 00:00,0.786828704,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,January
127,52,spicy_ital_l,1,01-01-2015 00:00,0.786828704,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,Thursday,January
128,53,pep_msh_pep_s,1,01-01-2015 00:00,0.787696759,11,11,S,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",Thursday,January
